country,partner,countryname,partnershare,rank
NL,276,Germany,.24359661,1
NL,056,Belgium,.12567978,2
NL,251,France,.0862398,3
NL,826,United Kingdom,.07247816,4
NL,156,China,.041977383,5
NL,380,Italy,.03937709,6
NL,724,Spain,.034803163,7
NL,616,Poland,.029660571,8
NL,842,USA,.020701893,9
NL,208,Denmark,.020456757,10
BE,528,Netherlands,.21048717,1
BE,251,France,.20954816,2
BE,276,Germany,.12658265,3
BE,826,United Kingdom,.072849967,4
BE,380,Italy,.037001219,5
BE,724,Spain,.032644998,6
BE,616,Poland,.026117491,7
BE,442,Luxembourg,.020544833,8
BE,842,USA,.019816756,9
BE,752,Sweden,.012597423,10
DK,276,Germany,.16858651,1
DK,752,Sweden,.090434052,2
DK,156,China,.079846188,3
DK,826,United Kingdom,.064523466,4
DK,616,Poland,.062161267,5
DK,528,Netherlands,.046173148,6
DK,380,Italy,.046121005,7
DK,579,Norway,.041354299,8
DK,251,France,.031813756,9
DK,392,Japan,.031479523,10
SE,208,Denmark,.10881923,1
SE,251,France,.10680968,2
SE,616,Poland,.0987892,3
SE,579,Norway,.095102906,4
SE,724,Spain,.080207169,5
SE,246,Finland,.079849742,6
SE,276,Germany,.0707426,7
SE,528,Netherlands,.068149224,8
SE,380,Italy,.056881737,9
SE,440,Lithuania,.029382944,10
NZL,156,China,.32858512,1
NZL,842,USA,.082845651,2
NZL,036,Australia,.071519122,3
NZL,392,Japan,.052206371,4
NZL,360,Indonesia,.037032947,5
NZL,490,"Other Asia, nes",.032642853,6
NZL,410,Rep. of Korea,.028062137,7
NZL,458,Malaysia,.026652997,8
NZL,764,Thailand,.023400031,9
NZL,682,Saudi Arabia,.020610595,10
